entity_group,score,word,start,end,Source,Index,Text
MISC,0.99974126,Russian,25,32,12 (song),0,"""12"" is a 2022 single by Russian rap artist Morgenshtern. The song was released on 14 March 2022 on social media platform Telegram after several unsuccessful attempts to release ""12"" on streaming platforms."
PER,0.48122823,Morgenshtern,44,56,12 (song),0,"""12"" is a 2022 single by Russian rap artist Morgenshtern. The song was released on 14 March 2022 on social media platform Telegram after several unsuccessful attempts to release ""12"" on streaming platforms."
ORG,0.6587715,Telegram,122,130,12 (song),0,"""12"" is a 2022 single by Russian rap artist Morgenshtern. The song was released on 14 March 2022 on social media platform Telegram after several unsuccessful attempts to release ""12"" on streaming platforms."
MISC,0.6743948,12,179,181,12 (song),0,"""12"" is a 2022 single by Russian rap artist Morgenshtern. The song was released on 14 March 2022 on social media platform Telegram after several unsuccessful attempts to release ""12"" on streaming platforms."
PER,0.5751599,Morgenshtern,21,33,12 (song),1,"""12"" is dedicated to Morgenshtern's younger brother. In addition, the song is named in honor of Morgenshtern's younger brother's birthday, who had turned 12 on 14 March 2022. The song also speaks about the 2022 Russian invasion of Ukraine, calling for peace and friendship between Russia and Ukraine, while also condemning the actions of Russia from the invasion."
PER,0.5757394,Morgenshtern,96,108,12 (song),1,"""12"" is dedicated to Morgenshtern's younger brother. In addition, the song is named in honor of Morgenshtern's younger brother's birthday, who had turned 12 on 14 March 2022. The song also speaks about the 2022 Russian invasion of Ukraine, calling for peace and friendship between Russia and Ukraine, while also condemning the actions of Russia from the invasion."
MISC,0.9996141,Russian,211,218,12 (song),1,"""12"" is dedicated to Morgenshtern's younger brother. In addition, the song is named in honor of Morgenshtern's younger brother's birthday, who had turned 12 on 14 March 2022. The song also speaks about the 2022 Russian invasion of Ukraine, calling for peace and friendship between Russia and Ukraine, while also condemning the actions of Russia from the invasion."
LOC,0.99982196,Ukraine,231,238,12 (song),1,"""12"" is dedicated to Morgenshtern's younger brother. In addition, the song is named in honor of Morgenshtern's younger brother's birthday, who had turned 12 on 14 March 2022. The song also speaks about the 2022 Russian invasion of Ukraine, calling for peace and friendship between Russia and Ukraine, while also condemning the actions of Russia from the invasion."
LOC,0.99981695,Russia,281,287,12 (song),1,"""12"" is dedicated to Morgenshtern's younger brother. In addition, the song is named in honor of Morgenshtern's younger brother's birthday, who had turned 12 on 14 March 2022. The song also speaks about the 2022 Russian invasion of Ukraine, calling for peace and friendship between Russia and Ukraine, while also condemning the actions of Russia from the invasion."
LOC,0.9998292,Ukraine,292,299,12 (song),1,"""12"" is dedicated to Morgenshtern's younger brother. In addition, the song is named in honor of Morgenshtern's younger brother's birthday, who had turned 12 on 14 March 2022. The song also speaks about the 2022 Russian invasion of Ukraine, calling for peace and friendship between Russia and Ukraine, while also condemning the actions of Russia from the invasion."
LOC,0.99981374,Russia,338,344,12 (song),1,"""12"" is dedicated to Morgenshtern's younger brother. In addition, the song is named in honor of Morgenshtern's younger brother's birthday, who had turned 12 on 14 March 2022. The song also speaks about the 2022 Russian invasion of Ukraine, calling for peace and friendship between Russia and Ukraine, while also condemning the actions of Russia from the invasion."
PER,0.9997451,Dmitry Gordon,36,49,12 (song),2,"The song starts off with words from Dmitry Gordon, a Ukrainian journalist, saying ""get the fuck out of here, fucking motherfuckers!"" The song talks numerous situations, including the economic collapse of the ruble, the 2022 Russian invasion of Ukraine and Morgenshtern's own problems with the law. During the chorus, Morgenshtern condemns Russian generals bringing Russian soldiers to the frontlines of the war, saying ""Big bosses will send [you] to the slaughterhouse, [and] bosses never give a fuck'. At the end of the song, a voice recording with a woman, who is later revealed as Ukrainian producer Vladislav Palagin's mother, speaks that she is safe in a bomb shelter after a bombing raid. In the music video, the video ends with the caption ""He is Ukrainian, I am Russian. We make music together. We want peace. We want friendship."""
MISC,0.99972934,Ukrainian,53,62,12 (song),2,"The song starts off with words from Dmitry Gordon, a Ukrainian journalist, saying ""get the fuck out of here, fucking motherfuckers!"" The song talks numerous situations, including the economic collapse of the ruble, the 2022 Russian invasion of Ukraine and Morgenshtern's own problems with the law. During the chorus, Morgenshtern condemns Russian generals bringing Russian soldiers to the frontlines of the war, saying ""Big bosses will send [you] to the slaughterhouse, [and] bosses never give a fuck'. At the end of the song, a voice recording with a woman, who is later revealed as Ukrainian producer Vladislav Palagin's mother, speaks that she is safe in a bomb shelter after a bombing raid. In the music video, the video ends with the caption ""He is Ukrainian, I am Russian. We make music together. We want peace. We want friendship."""
MISC,0.9996878,Russian,224,231,12 (song),2,"The song starts off with words from Dmitry Gordon, a Ukrainian journalist, saying ""get the fuck out of here, fucking motherfuckers!"" The song talks numerous situations, including the economic collapse of the ruble, the 2022 Russian invasion of Ukraine and Morgenshtern's own problems with the law. During the chorus, Morgenshtern condemns Russian generals bringing Russian soldiers to the frontlines of the war, saying ""Big bosses will send [you] to the slaughterhouse, [and] bosses never give a fuck'. At the end of the song, a voice recording with a woman, who is later revealed as Ukrainian producer Vladislav Palagin's mother, speaks that she is safe in a bomb shelter after a bombing raid. In the music video, the video ends with the caption ""He is Ukrainian, I am Russian. We make music together. We want peace. We want friendship."""
LOC,0.9997644,Ukraine,244,251,12 (song),2,"The song starts off with words from Dmitry Gordon, a Ukrainian journalist, saying ""get the fuck out of here, fucking motherfuckers!"" The song talks numerous situations, including the economic collapse of the ruble, the 2022 Russian invasion of Ukraine and Morgenshtern's own problems with the law. During the chorus, Morgenshtern condemns Russian generals bringing Russian soldiers to the frontlines of the war, saying ""Big bosses will send [you] to the slaughterhouse, [and] bosses never give a fuck'. At the end of the song, a voice recording with a woman, who is later revealed as Ukrainian producer Vladislav Palagin's mother, speaks that she is safe in a bomb shelter after a bombing raid. In the music video, the video ends with the caption ""He is Ukrainian, I am Russian. We make music together. We want peace. We want friendship."""
